id,vessel_id,t,lon,lat,heading,course,speed
9267878,e21ce5e3044c8884528db8e831bd2cb62e834d51d204868183f06a6971dbb3b9,04/08/2019 07:45,23.52978,37.96511,,240.5,0.1
9267880,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:45,23.61713,37.87098,175,174.2,24.2
9267881,1841939d3a9fa48ffc57e7c0ed2071d07cd51fe96e08dec2c306a2ac5a86a2c4,04/08/2019 07:45,23.5296,37.96515,,0,0
9267882,233e40fcef6e1d9247de2366e84ea2485434313798db9a64fd56aa77a8958365,04/08/2019 07:45,23.60702,37.92358,4,5,4.9
9267883,be3ab5b9100f0aadcf0c5828c2078a6215f640e6ae08c02b6fddad4b52226c67,04/08/2019 07:45,23.55308,37.90059,314,304,2.6
9267884,f14b2881f278eb54fc1ffdfce14734d4905faad2090fa8169d9fe49f651b527c,04/08/2019 07:45,23.53007,37.96545,,15.5,0.1
9267885,26199b57ef2b787a02bf09d81b98aa7ca1a984091c6a2b6d00ee43237a2535b0,04/08/2019 07:45,23.61285,37.94555,352,269.5,0
9267887,cc41d3f249146e80540771912150e3e009ce3aa631ca9fb4b9bfb9331c2c7987,04/08/2019 07:45,23.6283,37.94117,88,112,2.7
9267888,490201f75b5ddc3766b08b79c84ff3ff6f3737c31a890615ec8b11ed750b7b79,04/08/2019 07:45,23.6414,37.94447,,,0.1
9267889,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:45,23.61716,37.87076,175,174.5,24.2
9267890,a36bd40277c27438221c6a034cc989ff2b179b41c126f0c555e466e1d96dda71,04/08/2019 07:45,23.55695,37.9131,,337.6,0
9267891,f4338c3a901352bab6897ca05bd205d54e7a5c37e27eee46b600627ad1302eff,04/08/2019 07:45,23.54,37.89092,335,321.9,2
9267892,57139e85177dea04c5a366a3c24ca31a613754c1379d3e5cd844995e479ddf07,04/08/2019 07:45,23.64133,37.94313,,85,9.7
9267896,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:45,23.63671,37.79777,153,152.8,17
9267897,5b53cea1893df61389767637884d1188ca8a9da7ebce5b70254cf8e8fa1f7bdc,04/08/2019 07:45,23.59698,37.95208,332,348,1.4
9267898,1f0913ceba97d43fa952ae47d601e446c39f0a47352e4db8bc7732466e0a49fb,04/08/2019 07:45,23.61023,37.95749,,0,0
9267899,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:45,23.62025,37.87339,170,174,25.2
9267900,b9c2e66d0b02559e9cebc08025e252b7bb82837291d5b9c28991fd5bf557ad03,04/08/2019 07:45,23.61083,37.925,340,338,19.2
9267901,dc8bbc80288c795e58f333f26e71cef4bfcacf14a9b1acdf023ef96c1c1dfbef,04/08/2019 07:45,23.61192,37.95868,,309,0.1
9267903,bac263db165c5cef0003ad51e8d9161990f7c2e9f9fab89feb46289f58a35b0d,04/08/2019 07:45,23.60033,37.94053,340,340.9,5.8
9267904,cc41d3f249146e80540771912150e3e009ce3aa631ca9fb4b9bfb9331c2c7987,04/08/2019 07:46,23.62835,37.94113,90,117,2.6
9267906,af8ab01cfe8ab02333ec5f7689f6711501246324b7d5d7fcf4e0391192860e2b,04/08/2019 07:46,23.64878,37.93326,138,,0
9267908,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61721,37.87031,175,174.7,24.2
9267909,2c9d1c660fa17f69e407f72debbb57f21457b0023d188db86b234b402b817f66,04/08/2019 07:46,23.5981,37.94912,,,0
9267911,5b354bb4aa983f99d965725d47e158222b613f0c694866d99abc05aa96774164,04/08/2019 07:46,23.59945,37.94083,,27.4,2.5
9267913,f6bc7f1c524e9ddb5ebee6ea1012f54502556638891b604dcd17ee19cf4e2b4f,04/08/2019 07:46,23.6328,37.82182,169,165,16.6
9267914,3042352ae7ede1074c7c930979948a536bb7179fd00c2c4f9b2246f6e223dade,04/08/2019 07:46,23.5306,37.96568,,137.7,0.3
9267916,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.6203,37.87304,170,174,25.2
9267917,3153ae7391c9841540b3672e610e747942a8d0d30b787572b653f2148577f6be,04/08/2019 07:46,23.5437,37.95037,,,0
9267918,29b2c240d3ee158281fb4ad556939ee938d08685bd796a6877cbecd49a5655c4,04/08/2019 07:46,23.61491,37.9449,,270.1,0.1
9267919,4babbcb0d3d48cf988de1a317acb5a62ce72bf0a17e5510fa3d4ebdc9ff6fb7b,04/08/2019 07:46,23.599,37.94913,,0,0
9267920,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61724,37.87009,175,175,24.2
9267923,9a07029a6294dcf984fba483879732a7b9cc864ef7cd70003c0f7befb8a1252d,04/08/2019 07:46,23.5675,37.96012,,0,0
9267924,eb842e3e3445e9e3180422bd59df277c692cf43a789908fc11f92bd97918c33d,04/08/2019 07:46,23.64183,37.9445,,80.8,0
9267925,3d992f7b1343d7665b5768bd6e4fb8044fec0b2c3f78463bcf1105f8ff16e797,04/08/2019 07:46,23.68049,37.93117,64,158.2,0
9267926,ea73c8c2326400a107364cacb33e2984e289b2be6f396fb918e368e31a0e7d52,04/08/2019 07:46,23.60244,37.9374,,184,10.8
9267928,e21ce5e3044c8884528db8e831bd2cb62e834d51d204868183f06a6971dbb3b9,04/08/2019 07:46,23.5298,37.96508,,229,0.1
9267929,c7d136f22d2a1dd7efe1e6f6789bf578ff435cf5a2d1b4c4b36c654fd3fe0bfd,04/08/2019 07:46,23.60913,37.95795,,277.6,10.6
9267930,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61726,37.86987,175,174.5,24.2
9267931,b9c2e66d0b02559e9cebc08025e252b7bb82837291d5b9c28991fd5bf557ad03,04/08/2019 07:46,23.6105,37.9255,340,338,19.2
9267932,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:46,23.63703,37.79728,153,152.2,17.1
9267933,be3ab5b9100f0aadcf0c5828c2078a6215f640e6ae08c02b6fddad4b52226c67,04/08/2019 07:46,23.55298,37.90065,314,304,2.5
9267935,b4510b5d03cfa4f522dbd40f382adf6d5eb6dcedcf8f6ae6f713f0fcb913f1db,04/08/2019 07:46,23.56327,37.91915,,201,7.1
9267937,f14b2881f278eb54fc1ffdfce14734d4905faad2090fa8169d9fe49f651b527c,04/08/2019 07:46,23.53007,37.96545,,26,0
9267938,490201f75b5ddc3766b08b79c84ff3ff6f3737c31a890615ec8b11ed750b7b79,04/08/2019 07:46,23.6414,37.94447,,,0.1
9267939,26199b57ef2b787a02bf09d81b98aa7ca1a984091c6a2b6d00ee43237a2535b0,04/08/2019 07:46,23.61285,37.94555,352,269.5,0
9267940,233e40fcef6e1d9247de2366e84ea2485434313798db9a64fd56aa77a8958365,04/08/2019 07:46,23.60703,37.92385,2,3,4.9
9267941,d9a6214a809d5ff6b05f6036903d82357a355f8e6f3ccefdec97648e72238f86,04/08/2019 08:03,23.68474,37.93705,,,0
9267943,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62037,37.87245,170,174,25.2
9267945,f4338c3a901352bab6897ca05bd205d54e7a5c37e27eee46b600627ad1302eff,04/08/2019 07:46,23.53993,37.89101,336,324.1,2
9267946,f6bc7f1c524e9ddb5ebee6ea1012f54502556638891b604dcd17ee19cf4e2b4f,04/08/2019 07:46,23.63292,37.82135,171,166,16.7
9267947,5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,04/08/2019 07:46,23.64118,37.9448,217,278.9,0.1
9267948,5b53cea1893df61389767637884d1188ca8a9da7ebce5b70254cf8e8fa1f7bdc,04/08/2019 07:46,23.59697,37.95215,331,347.9,1.5
9267949,bac263db165c5cef0003ad51e8d9161990f7c2e9f9fab89feb46289f58a35b0d,04/08/2019 07:46,23.60024,37.94075,340,341,5.7
9267951,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.6204,37.87222,170,174,25.2
9267952,dc8bbc80288c795e58f333f26e71cef4bfcacf14a9b1acdf023ef96c1c1dfbef,04/08/2019 07:46,23.6119,37.95867,,356,0.2
9267956,af8ab01cfe8ab02333ec5f7689f6711501246324b7d5d7fcf4e0391192860e2b,04/08/2019 07:46,23.64878,37.93326,137,,0
9267957,cc41d3f249146e80540771912150e3e009ce3aa631ca9fb4b9bfb9331c2c7987,04/08/2019 07:46,23.6285,37.94107,98,128,2.3
9267958,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:46,23.63727,37.79692,153,151.9,17.1
9267959,8406aa01dbd09a832e2a9825f28f900e03c718f86c16650ef69afec1d795cdca,04/08/2019 07:46,23.59713,37.95205,,349.1,1.6
9267960,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62042,37.87199,170,174,25.2
9267961,5b354bb4aa983f99d965725d47e158222b613f0c694866d99abc05aa96774164,04/08/2019 07:46,23.59949,37.94097,,16.2,3.1
9267962,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61735,37.8692,175,174.2,24.2
9267963,b9c2e66d0b02559e9cebc08025e252b7bb82837291d5b9c28991fd5bf557ad03,04/08/2019 07:46,23.61033,37.926,340,338,19.3
9267966,d9a6214a809d5ff6b05f6036903d82357a355f8e6f3ccefdec97648e72238f86,04/08/2019 07:46,23.68475,37.93706,,,0
9267967,7f080c68ffb5cbe042d98b2524fc8a56db5bb75315f1063e6fa7440d20881f8e,04/08/2019 07:46,23.6204,37.90133,180,178,22.4
9267968,0bee2882311e4202052c5c9ad326b4bf4d69b8227f0fef7bcf4723e27cb79f6a,04/08/2019 07:46,23.59343,37.95023,,135,0.3
9267969,3042352ae7ede1074c7c930979948a536bb7179fd00c2c4f9b2246f6e223dade,04/08/2019 07:46,23.53061,37.96567,,137.1,0.3
9267972,3d992f7b1343d7665b5768bd6e4fb8044fec0b2c3f78463bcf1105f8ff16e797,04/08/2019 07:46,23.68049,37.93116,64,158.2,0
